ccode,country_code,GPCP_g,GPCP_g_l,any_prio,lpopl1,lmtnest,Oil,ethfrac,relfrac,polity2l,gdp_g,gdp_g_l,y_0,Iccyear1,Iccyear2,Iccyear3,Iccyear4,Iccyear5,Iccyear6,Iccyear7,Iccyear8,Iccyear9,Iccyear10,Iccyear11,Iccyear12,Iccyear13,Iccyear14,Iccyear15,Iccyear16,Iccyear17,Iccyear18,Iccyear19,Iccyear20,Iccyear21,Iccyear22,Iccyear23,Iccyear24,Iccyear25,Iccyear26,Iccyear27,Iccyear28,Iccyear29,Iccyear30,Iccyear31,Iccyear32,Iccyear33,Iccyear34,Iccyear35,Iccyear36,Iccyear37,Iccyear38,Iccyear39,Iccyear40,Iccyear41
516,BDI,.060071781,-.11328337,0,8.3260326,4.3241324,0,.035510659,.55019999,-7,.054166652,-.014373716,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,.29582274,.060071781,0,8.3530254,4.3241324,0,.035510659,.55019999,-7,-.0059287776,.054166652,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,-.23330225,.29582274,0,8.3806858,4.3241324,0,.035510659,.55019999,-7,-.031809207,-.0059287776,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,-.036411121,-.23330225,0,8.4087172,4.3241324,0,.035510659,.55019999,-7,-.0082135079,-.031809207,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,.20109311,-.036411121,0,8.4372835,4.3241324,0,.035510659,.55019999,-7,.091097303,-.0082135079,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,-.1001252,.20109311,0,8.4658995,4.3241324,0,.035510659,.55019999,-7,.045540776,.091097303,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,.016232695,-.1001252,0,8.4947433,4.3241324,0,.035510659,.55019999,-7,-.023593487,.045540776,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,.1524713,.016232695,0,8.5237713,4.3241324,0,.035510659,.55019999,-7,.03903351,-.023593487,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,.0019980953,.1524713,0,8.5527534,4.3241324,0,.035510659,.55019999,-7,-.048300553,.03903351,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,BDI,-.12578216,.0019980953,1,8.5818567,4.3241324,0,.035510659,.55019999,-7,.033834599,-.048300553,.48699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
